,Airport New City,Fengdong New City,Qinhan New City,Fengxi New City,Jinghe New City
Basic land,0,0.0048524141885697425,0.01096433997188373,0.0034061867743708785,0.009651210465480897
Basic green land,0.011251579169163861,0.006057093482283449,0.004907245053448195,0.012360868947098869,0.004852414215677836
Park green land,0.007906607036557878,0.012030869538283806,0.007340229753300509,0.010139448455964706,0.013215827333814545
Public facility land,0,0.007258440385822462,0.01096433997188373,0.009024462658908217,0.008456473331538872
Transportation station land,0.002273756936627791,0.0012181958017118966,0.0061254411456086455,0,0.0012181958085466515
Educational land,0.014570984838476297,0.00845647328449095,0.008551629885893863,0.006785866468163482,0.008456473331538872
Historical site protection area,0.005662226408746696,0.012030869538283806,0.004907245053448195,0.006785866468163482,0.010842669911590441
Agricultural and forestry land,0.001138366503770749,0.017923589221902736,0.007340229753300509,0,0.006057093516075529
Industrial land,0.011251579169163861,0,0.008551629885893863,0.004535671490591531,0.003644383986342481
Agricultural land,0.0034061868188950406,0.0036443839659539012,0.01096433997188373,0.010139448455964706,0.017923589320546274
Commercial land,0.01013944858748328,0.01084266985143123,0.01096433997188373,0.006785866468163482,0.012030869604944483
Social welfare land,0.001138366503770749,0.013215827260687707,0,0.004535671490591531,0
Water area,0.007906607036557878,0.00845647328449095,0.013363720337473683,0.006785866468163482,0.012030869604944483
Sports land,0.009024462776114017,0.012030869538283806,0.00975966039413012,0.0011383664888522382,0.012030869604944483
Cultural land,0.002273756936627791,0.00845647328449095,0.008551629885893863,0.006785866468163482,0.01675142444754707
Medical land,0.007906607036557878,0.01084266985143123,0.0024605535743524865,0.0022737569068678187,0.008456473331538872
Government land,0.002273756936627791,0.0048524141885697425,0.00975966039413012,0.004535671490591531,0.002432984134208116
Residential land,0.0034061868188950406,0.013215827260687707,0.0061254411456086455,0.011251579023405567,0.004852414215677836
